#
# Register file for Tristar MPPT
# THIS NEEDS TO BE DONE, BELOW IS NOT CORRECT
#
r,0,sw_ver,Software Version,-,bcd,RO,
r,1,n_sys_v,Battery Voltage Settings multiplier (1 for 12V nominal - 2 for 24V nominal),-,f16,RO,
r,4,vdd_actual,3.3V Supply Voltage,V,f16,RO,
r,5,adc_p12,12V Supply Voltage,V,f16,RO,
r,6,adc_p5,5V Supply Voltage,V,f16,RO,
r,7,adc_fgdrive,Gate Drive Voltage,V,f16,RO,
r,8,adc_vmeter,MeterBus Supply Voltage,V,f16,RO,
r,16,adc_ic,Charge Current,A,f16,RO,
r,17,adc_ia,Array Current,A,f16,RO,
r,18,adc_vbterm,Battery Terminal Voltage,V,f16,RO,
r,19,adc_va,Array Voltage,V,f16,RO,
r,20,adc_vl,Load Voltage,V,f16,RO,
r,21,adc_ib,Battery Current (net),A,f16,RO,
r,22,adc_il,Load Current,A,f16,RO,
r,23,adc_vbsense,Battery Sense Voltage,V,f16,RO,
r,24,adc_vb_f_1m,Battery Voltage - slow filter (60s),V,f16,RO,
r,25,adc_ib_f_1m,Battery Current (net) - slow filter (60s),A,f16,RO,
r,26,T_hs,Heatsink Temperature,C,f16,RO,
r,27,T_batt,Battery Temperature (Either Ambient or RTS if connected),C,f16,RO,
r,28,T_amb,Ambient (local) Temperature,C,f16,RO,
r,29,T_rts,Remote Temperature Sensor Temp.,C,f16,RO,
r,30,T_ind[U],Phase U inductor temperature,C,f16,RO,
r,31,T_ind[V],Phase V inductor temperature,C,f16,RO,
r,32,T_ind[W],Phase W inductor temperature,C,f16,RO,
r,33,charge_state,Charge State,-,uint,RO,
r,34,array_fault,Array Fault Bitfield,-,bitf,RO,
r,35,vb_f,Battery Voltage - slow filter (25s),V,f16,RO,
r,36,vb_ref,Battery Regulator Reference Voltage,V,f16,RO,
r,37,vb_ref_charge_slave,Battery Regulator Slave Voltage,V,f16,RO,
r,38,Ahc_r,Ah Charge Resettable,Ah,dn10,RO,
r,40,Ahc_t,Ah Charge Total,Ah,dn10,RO,
r,42,kWhc_r,kWh Charge Resettable,kWh,n10,RO,
r,43,kWhc_t,Kwh Charge Total,kWh,n10,RO,
r,44,Tb_lo_limit_100,Battery Temp Foldback 100% Output Limit,C,f16,RO,
r,45,Tb_lo_limit_0,Battery Temp Foldback 0% Output Limit,C,f16,RO,
r,46,load_state,Load State,-,uint,RO,
r,47,load_fault,Load Fault Bitfield,-,bitf,RO,
r,48,V_lvd,Load Current Compensated LVD Voltage,V,f16,RO,
r,49,V_lhvd,Load HVD Voltage,V,f16,RO,
r,50,Ahl_r,Ah Load Resettable,Ah,dn10,RO,
r,52,Ahl_t,Ah Load Total,Ah,dn10,RO,
r,54,hourmeter,Hourmeter,hours,dint,RO,
r,56,alarm,Alarm Bitfield,-,dbitf,RO,
r,58,dip_switch,DIP Switch Settings at Power On (switch[1..8] in bits[0..7]),-,bitf,RO,
r,59,led_state,SOC LED State,-,uint,RO,
r,60,Power_out,Charger Output Power,W,f16,RO,
r,61,Sweep_Vmp,Array Vmp (found during sweep),V,f16,RO,
r,62,Sweep_Pmax,Array Max Output Power (found during sweep),W,f16,RO,
r,63,Sweep_Voc,Array Voc (found during sweep),V,f16,RO,
r,64,va_ref,Array Target Voltage,V,f16,RO,
r,65,Vb_min_daily,Minimum Battery Voltage (daily),V,f16,RO,
r,66,Vb_max_daily,Maximum Battery Voltage (daily),V,f16,RO,
